pcd7,pcd8,pcds,dointr,doterm,usrtypind,east1m,north1m,gridind,oa21cd,cty25cd,ced25cd,lad25cd,wd25cd,nhser24cd,ctry25cd,rgn25cd,pcon24cd,ttwa15cd,itl25cd,npark16cd,lsoa21cd,msoa21cd,wz11cd,sicbl26cd,bua24cd,ruc21ind,oac11ind,lat,long,lep21cd1,lep21cd2,pfa23cd,imd20ind,icb26cd,ttwa_name
M41 5HS,M41  5HS,M41 5HS,199412,200205,1,376313,394651,1,E00031428,E11000001,E99999999,E08000009,E05015259,E40000014,E92000001,E12000002,E14001528,E30000239,E08000009,E65000001,E01006201,E02001267,E33005880,E38000187,E63008420,UN1,5B3,53.448101,-2.358116,E37000015,,E23000005,15957,E54000057,Manchester
N1  0DX,N1   0DX,N1 0DX,198001,,0,530623,184096,1,E00013502,E13000001,E99999999,E09000019,E05013700,E40000003,E92000001,E12000007,E14001306,E30000234,E09000019,E65000001,E01002715,E02000572,E33034759,E38000240,E63011980,UN1,3B3,51.540659,-0.11784,E37000051,,E23000001,4721,E54000071,London
SK2 6JW,SK2  6JW,SK2 6JW,198001,,0,390142,388160,1,E00029359,E11000001,E99999999,E08000007,E05015022,E40000014,E92000001,E12000002,E14001158,E30000239,E08000007,E65000001,E01005798,E02001213,E33005658,E38000174,E63008478,UN1,5B3,53.390201,-2.149691,E37000015,,E23000005,9674,E54000057,Manchester
NN1 5BN,NN1  5BN,NN1 5BN,200302,201611,1,476306,260507,1,E00189074,E99999999,E99999999,E06000062,E05015983,E40000011,E92000001,E12000004,E14001407,E30000247,E06000062,E65000001,E01027224,E02005674,E33014731,E38000262,E63010463,UN1,4C3,52.23749,-0.883984,E37000057,,E23000022,7208,E54000059,Northampton
TR165EB,TR16 5EB,TR16 5EB,198001,,0,172470,45343,1,E00095035,E99999999,E99999999,E06000052,E05013849,E40000006,E92000001,E12000009,E14001148,E30000257,E06000052,E65000001,E01018825,E02003907,E33048429,E38000089,E63999999,RSF1,1A2,50.264119,-5.193948,E37000005,,E23000035,10797,E54000036,Redruth and Truro
SG137UG,SG13 7UG,SG13 7UG,199208,202307,1,532987,212543,1,E00119256,E10000015,E58000639,E07000242,E05015365,E40000013,E92000001,E12000006,E14001283,E30000186,E07000242,E65000001,E01023477,E02004894,E33024201,E38000049,E63011465,UN1,5A3,51.79574,-0.072952,E37000048,,E23000027,27352,E54000065,Cambridge
ST104NJ,ST10 4NJ,ST10 4NJ,198001,,0,402843,337858,1,E00151798,E10000028,E58001811,E07000198,E05007052,E40000011,E92000001,E12000005,E14001522,E30000273,E07000198,E65000001,E01029788,E02006216,E33022445,E38000126,E63999999,RSN1,1A3,52.938128,-1.959143,E37000032,,E23000015,24910,E54000010,Stoke-on-Trent
BT399ZH,BT39 9ZH,BT39 9ZH,201506,,0,329513,391265,1,N20000106,N99999999,N99999999,N09000001,N08000104,N99999999,N92000002,N99999999,N05000014,N12000002,N09000001,N99999999,N21000022,N99999999,N19001573,ZC020,N99999999,,5A1,54.752627,-5.989213,N99999999,N99999999,N23000001,732,N99999999,Belfast
BB119FW,BB11 9FW,BB11 9FW,201206,201910,1,384228,432762,1,E00181551,E10000017,E58000755,E07000117,E05005155,E40000014,E92000001,E12000002,E14001142,E30000182,E07000117,E65000001,E01024877,E02005178,E33003837,E38000050,E63007907,UN1,4B2,53.790944,-2.240889,E37000019,,E23000003,180,E54000048,Burnley
DA1 9TN,DA1  9TN,DA1 9TN,202101,202108,1,553654,174061,1,E00122781,E10000016,E58000697,E07000107,E05012410,E40000005,E92000001,E12000008,E14001191,E30000234,E07000107,E65000001,E01024185,E02005030,E33038335,E38000237,E63012157,UN1,4A2,51.4447,0.209648,E37000056,,E23000032,22488,E54000032,London
LL237SE,LL23 7SE,LL23 7SE,198001,,0,288582,338665,1,W00000422,W99999999,W99999999,W06000002,W05001548,W99999999,W92000004,W99999999,W07000096,W22000033,W06000002,W18000003,W01000083,W02000024,W35000983,W11000023,W45999999,RSF1,1A3,52.933801,-3.659151,W99999999,W99999999,W15000001,1162,W99999999,Tywyn and Dolgellau
UB8 2SY,UB8  2SY,UB8 2SY,199002,199812,1,505098,184130,1,E00012544,E13000002,E99999999,E09000017,E05013580,E40000003,E92000001,E12000007,E14001558,E30000266,E09000017,E65000001,E01002521,E02000509,E33034451,E38000256,E63012034,UN1,3A1,51.546289,-0.485739,E37000051,,E23000001,8385,E54000071,Slough and Heathrow
EX387XQ,EX38 7XQ,EX38 7XQ,200407,200903,1,249585,119165,1,E00102868,E10000008,E58000305,E07000046,E05011922,E40000006,E92000001,E12000009,E14001552,E30000167,E07000046,E65000001,E01020305,E02004225,E33046368,E38000230,E63013416,RLF1,7A2,50.95223,-4.142832,E37000016,,E23000035,14038,E54000037,Bideford
